0	0.32
47500	0.03
95000	0.33
142500	0.58
190000	0.53
237500	0.22
285000	0.28
332500	0.27
380000	0.31
427500	0.44
475000	0.43
522500	0.40
570000	0.46
617500	0.30
665000	0.58
712500	0.55
760000	0.27
807500	0.12
855000	0.24
902500	0.45
950000	0.17
997500	0.21
1045000	0.14
1092500	0.37
1140000	0.47
1187500	0.31
1235000	0.35
1282500	0.16
1330000	0.89
1377500	0.19
1425000	0.49
1472500	0.57
1520000	0.29
1567500	0.43
1615000	0.20
1662500	0.05
1710000	0.37
1757500	0.58
1805000	0.29
1852500	0.09
1900000	0.78
1947500	0.07
1995000	0.36
2042500	0.20
2090000	0.11
2137500	0.31
2185000	0.74
2232500	0.13
2280000	0.43
2327500	0.33
2375000	0.48
2422500	0.60
2470000	0.30
2517500	0.15
2565000	0.26
2612500	0.16
2660000	0.16
2707500	0.43
2755000	0.67
2802500	0.08
2850000	0.60
2897500	0.46
2945000	0.36
2992500	0.59
3040000	0.53
3087500	0.53
3135000	0.11
3182500	0.78
3230000	0.19
3277500	0.53
3325000	0.54
3372500	0.20
3420000	0.62
3467500	0.15
3515000	0.24
3562500	0.40
3610000	0.15
3657500	0.39
3705000	0.34
3752500	0.70
3800000	0.35
3847500	0.08
3895000	0.54
3942500	0.87
3990000	0.50
4037500	0.41
4085000	0.10
4132500	0.20
4180000	0.58
4227500	0.36
4275000	0.11
4322500	0.35
4370000	0.45
4417500	0.33
4465000	0.29
4512500	0.18
4560000	0.72
4607500	0.27
